jugador_id,torneo_id,asistencia,origen,origen_lat,origen_lon,destino,destino_lat,destino_lon
100,110,1,Venado Tuerto,-33.7455566,-61.9690161,16,-33.7459475,-61.9638895
100,112,1,Venado Tuerto,-33.7455566,-61.9690161,6,-33.700647,-61.6136698
100,133,1,Venado Tuerto,-33.7455566,-61.9690161,16,-33.7459475,-61.9638895
103,111,1,Paraná,-31.743465,-60.508353,12,-31.724134,-60.5364805
103,120,1,Paraná,-31.743465,-60.508353,2,-33.3751295,-61.7115049
103,127,1,Paraná,-31.743465,-60.508353,8,-31.203066,-61.479862
103,131,1,Paraná,-31.743465,-60.508353,19,-33.4583964,-61.4862572
103,136,1,Paraná,-31.743465,-60.508353,7,-33.7233238,-62.2456286
108,110,1,Correa,-32.8491608,-61.2642714,16,-33.7459475,-61.9638895
108,111,1,Correa,-32.8491608,-61.2642714,12,-31.724134,-60.5364805
111,110,1,Los Quirquinchos,-33.3751295,-61.7115049,11,-33.7447968,-61.9744751
111,112,1,Los Quirquinchos,-33.3751295,-61.7115049,3,-33.5356733,-61.1287133
111,113,1,Los Quirquinchos,-33.3751295,-61.7115049,2,-33.3751295,-61.7115049
111,114,1,Los Quirquinchos,-33.3751295,-61.7115049,19,-33.4583964,-61.4862572
111,117,1,Los Quirquinchos,-33.3751295,-61.7115049,8,-31.203066,-61.479862
111,118,1,Los Quirquinchos,-33.3751295,-61.7115049,6,-33.700647,-61.6136698
111,120,1,Los Quirquinchos,-33.3751295,-61.7115049,20,-33.3244841,-62.0412914
111,126,1,Los Quirquinchos,-33.3751295,-61.7115049,15,-31.5901238,-60.7289541
111,127,1,Los Quirquinchos,-33.3751295,-61.7115049,15,-31.5901238,-60.7289541
111,133,1,Los Quirquinchos,-33.3751295,-61.7115049,2,-33.3751295,-61.7115049
111,134,1,Los Quirquinchos,-33.3751295,-61.7115049,19,-33.4583964,-61.4862572
111,136,1,Los Quirquinchos,-33.3751295,-61.7115049,11,-33.7447968,-61.9744751
124,112,1,Carcaraña,-32.8571864,-61.1578169,3,-33.5356733,-61.1287133
124,131,1,Carcaraña,-32.8571864,-61.1578169,2,-33.3751295,-61.7115049
